date,hour,temp,humidity,wind_speed,weather,dayofweek
20170208,15,4,87,21.6,2,3
20170208,16,3,93,18.0,2,3
20170208,17,3,93,18.0,2,3
20170208,18,3,93,21.6,2,3
20170208,19,3,93,18.0,1,3
20170208,20,3,93,21.6,1,3
20170208,21,3,87,25.2,1,3
20170208,22,2,93,21.6,1,3
20170208,23,2,93,25.2,2,3
20170209,8,1,87,18.0,1,4
20170209,9,2,75,21.6,1,4
20170209,10,3,75,21.6,1,4
20170209,11,4,61,28.8,5,4
20170209,12,5,49,28.8,5,4
20170209,13,6,39,28.8,1,4
20170209,14,7,37,28.8,1,4
20170209,15,6,34,28.8,1,4
20170209,16,5,39,32.4,1,4
20170209,17,5,39,25.2,1,4
20170209,18,4,36,21.6,1,4
20170209,19,3,41,21.6,1,4
20170209,20,3,45,21.6,1,4
20170209,21,3,45,21.6,1,4
20170209,22,2,52,18.0,1,4
20170209,23,2,56,14.4,1,4
20170210,8,1,44,14.4,1,5
20170210,9,3,33,25.2,1,5
20170210,10,5,26,28.8,1,5
20170210,11,5,26,28.8,1,5
20170210,12,6,23,25.2,1,5
20170210,13,6,21,28.8,1,5
20170210,14,7,21,25.2,1,5
20170210,15,7,23,32.4,1,5
20170210,16,6,25,32.4,1,5
20170210,17,6,25,28.8,1,5
20170210,18,5,29,21.6,1,5
20170210,19,4,33,18.0,1,5
20170210,20,3,33,21.6,1,5
20170210,21,3,33,18.0,1,5
20170210,22,2,38,14.4,1,5
20170210,23,2,38,10.8,1,5
20170211,8,2,48,10.8,1,6
20170211,9,4,42,18.0,1,6
20170211,10,6,25,18.0,1,6
20170211,11,7,23,21.6,1,6
20170211,12,8,23,14.4,1,6
20170211,13,8,20,18.0,1,6
20170211,14,8,18,18.0,1,6
20170211,15,8,20,14.4,1,6
20170211,16,8,20,10.8,1,6
20170211,17,7,21,14.4,1,6
20170211,18,5,26,10.8,1,6
20170211,19,5,29,7.2,1,6
20170211,20,4,36,7.2,1,6
20170211,21,4,36,7.2,1,6
20170211,22,3,45,3.6,1,6
20170211,23,2,56,3.6,1,6
20170212,8,3,70,3.6,1,7
20170212,9,7,46,10.8,1,7
20170212,10,9,34,10.8,1,7
20170212,11,10,28,10.8,1,7
20170212,12,12,22,7.2,1,7
20170212,13,11,22,7.2,1,7
20170212,14,12,22,7.2,1,7
20170212,15,12,24,7.2,1,7
